Word//word combination	Sentiment scores
абсурдний	-1.500
абсурдно	-0.800
абсурдності	-1.600
абсурдність	-1.500
авантюризм	1.500
авантюрист	1.400
авантюристи	1.200
авантюристка	0.800
авантюристки	1.400
авантюрний	1.600
авантюрно	1.300
авантюрність	1.550
аварія	-1.725
аварії	-1.300
авжеж	1.450
авторитет	0.300
авторитетний	1.900
ага	1.200
агонія	-1.800
агресивний	-1.900
агресивно	-2.100
агресивності	-1.400
агресивність	-1.200
агресор	-1.750
агресори	-1.800
агресія	-2.150
агресії	-1.300
агітаційний	-1.200
ад	-3.600
адекватний	0.900
адський	-3.200
ажіотаж	-0.600
акти сексуального насильства	-2.900
акти тероризму	-3.200
актив	1.500
активи	0.700
активний	1.700
активно	1.300
активні	1.100
активність	0.700
активізувати	1.100
акуратно	1.400
акуратність	1.300
акуратніший	1.000
акція протесту	-1.000
алармізм	-0.300
алармісти	-1.100
алергічний	-1.200
алмаз	1.400
алілуя	3.000
амазоніт	0.600
амазоніти	0.200
амбівалентний	0.500
амбіційний	2.100
амністований	0.900
аморальний	-1.967
аморально	-1.550
аморальності	-1.150
аморальність	-1.050
аморалізм	-1.150
аморалізми	-0.700
амораліст	-2.100
аморалісти	-1.700
амортизація	0.600
амортизації	0.200
анархія	-2.700
антагонізм	-1.900
антагонізми	-1.200
антагоніст	-1.900
антагоністи	-1.700
антагоністичний	-1.600
антагоністично	-2.200
анти	-1.300
аніматор	1.600
аніматори	1.000
апатичний	-1.333
апатично	-0.400
апатія	-1.300
апатії	-0.600
апетитний	2.667
апетитно	1.500
аплодисменти	1.800
аплодував	1.500
аплодували	1.500
аплодувати	2.000
аплодують	2.100
аплодує	1.750
апокаліпсис	-2.800
апокаліпсиси	-2.400
апокаліптичний	-3.400
арешт	-1.450
арештант	-2.500
арештанти	-2.300
арешти	-1.900
артист-розважальник	1.600
артисти-розважальники	1.000
архаїчний	-1.200
атака	-2.100
атаки	-2.200
атакували	-2.200
атакуючи	-2.150
афера	-2.750
афери	-2.550
аферист	-1.667
аферисти	-1.650
ахаха	2.300
багатий	2.050
багато	1.900
багатообіцяючий	1.300
багатства	2.250
багатство	2.267
багатший	2.300
багно	-1.450
бадьорий	1.689
бадьорить	2.100
бадьорливий	1.700
бадьоро	2.020
бадьорість	1.383
бадьоріший	1.800
бажаний	1.200
бажання	1.225
бажати	0.300
байдуже	-0.400
байдужий	-1.340
байдужості	-0.600
байдужість	-0.700
банальний	-0.800
банкрут	-2.600
банкрутство	-2.600
банкір-шахрай	-2.100
бар'єр	-1.000
барвистий	2.400
бардак	-2.500
бачення	0.950
бвахаха	0.400
бвахахах	2.500
без друзів	-1.500
без жертв	0.600
без зброї	0.100
без зусиль	1.400
без мотивації	-1.400
без проблем	1.400
без підтримки	-1.700
без співчуття	-2.600
без тиску	1.000
безбарвний	-1.850
безбашенний	1.400
безболісний	1.200
безболісно	1.100
безболісність	0.400
безборонно	-1.100
безборонність	-1.300
безвартісний	-1.900
безвинний	0.967
безвинно	1.000
безвинні	1.100
безвинність	1.175
безвиході	-2.200
безвихідний	-1.500
безвихідно	-2.200
безвихідь	-2.080
безвладний	-2.200
безвідповідальний	-1.900
безглуздий	-1.667
безглуздо	-1.383
безглуздості	-2.067
безглуздя	-1.800
безглуздість	-1.660
безглуздіший	-1.700
безграмотність	-1.900
безгуморний	-1.300
безгуморність	-1.400
бездоганна	1.400
бездоганний	2.233
бездоганно	2.000
бездоганність	2.267
бездумний	-2.000
бездіяльно	-0.700
бездіяльність	-1.000
бездієвий	-1.200
бездієво	-1.100
бездієвість	-1.450
безжальний	-2.467
безжально	-2.483
безжальності	-2.300
безжальність	-2.380
безжальніший	-2.350
безжиттєвий	-1.300
безжурний	1.700
беззахисний	-1.267
беззахисно	-1.100
беззахисність	-1.300
беззбройний	0.100
беззмістовний	-1.900
беззубий	-1.400
безконтрольний	-1.000
безконтрольно	-1.500
безконфліктний	2.200
безконфліктно	2.200
безкорисність	-1.600
безкоштовне пз	0.700
безкоштовний	2.300
безкоштовно	0.200
безлад	-1.850
безладний	-1.633
безладно	-1.500
безладні статеві зв'язки	-1.300
безлюбовний	-2.300
безмозкий	-1.900
безнадійний	-2.150
безнадійно	-2.200
безнадійність	-3.100
безнадія	-1.300
безнравственний	-2.000
безнравственності	-1.100
безнравственність	-1.100
безоглядний	-1.400
безоглядно	-1.000
безоглядність	-1.600
безособовий	-1.300
безпека	1.525
безперечний	0.900
безперечно	1.583
безперечність	0.800
безперешкодно	1.900
безпечний	1.650
безпечно	1.800
безпечніший	1.650
безплатне програмне забезпечення	0.700
безплідний	-1.200
безплідно	-1.100
безплідність	-1.450
безпомилковий	1.967
безпомилково	1.400
безпомилковість	1.100
безпорадний	-2.100
безпорадно	-1.400
безпорадність	-1.733
безприбутковий	-1.500
безпринципний	-1.600
безпристрасний	-1.900
безпросвітний	-2.000
безпросвітно	-2.200
безрадісний	-2.150
безрадісно	-1.250
безрадісність	-2.200
безрезультатний	-1.200
безрезультатно	-1.300
безрезультатність	-1.300
безризиковий	1.300
безробіття	-1.900
безрозсудний	-1.550
безрозсудно	-1.000
безрозсудність	-1.600
безрозсудніший	-1.500
безсердечний	-2.025
безсердечно	-2.800
безсердечність	-2.800
безсилий	-1.767
безсилля	-1.833
безсило	-1.400
безсмертний	1.000
безсоння	-1.600
безсоромний	-1.400
безсоромно	-1.400
безсоромності	-2.000
безсоромність	-1.400
безстидно	-1.400
безстидності	-2.000
безстидність	-1.400
безстрашний	2.100
безстрашно	1.100
безстрашність	1.100
безстресовий	1.600
безстресовість	1.600
безсумнівний	1.000
безсумнівно	1.400
безсумнівність	0.800
безтактний	-1.600
безтактність	-1.800
безталанний	-1.433
безтурботний	1.600
безтурботність	1.500
безумство	-2.300
безусмішний	-1.400
безуспішний	-1.500
безуспішно	-1.700
безутішний	-2.050
безутішність	-1.700
безучасний	-0.800
безучасть	-0.200
безформний	-0.200
безцінний	2.700
безцінно	2.200
безцінність	1.900
безчестя	-2.150
безідейний	-1.900
бенефіціар	2.100
бенефіціари	1.800
бешкетник	-1.500
бешкетники	-1.100
бешкетництво	-2.100
бешкетував	-1.600
бешкетувати	-1.900
бешкетує	-1.600
битва	-1.600
благоговійний	0.700
благоговійно	1.100
благодійний	1.800
благодійник	2.500
благодійники	1.600
благодійно	1.800
благодійності	1.850
благодійні організації	2.200
благодійність	2.025
благородний	2.000
благословенний	2.900
благословенно	1.700
благословення	2.275
благословитель	2.600
благословити	1.800
благословляти	1.800
благословляє	2.600
блаженний	2.350
блаженство	2.700
блазнювання	-1.700
блиск	2.025
блискуче	2.333
блискучий	2.500
блискучості	2.600
блискучість	2.750
блискучіший	1.600
блищати	1.800
блищить	1.300
блокбастер	2.900
блокування	-1.600
блокує	-0.900
блуд	-2.250
блудник	-2.600
блудники	-2.000
блювання	-1.800
блювати	-2.400
блювота	-2.400
блює	-1.850
бовдур	-1.900
богомолець	1.000
богомольці	0.900
боготворив	2.400
боготворити	2.600
боготворіння	1.200
божевілля	-1.767
божевільний	-1.420
божевільно	-1.500
божевільні	-1.600
божевільніший	-0.100
божества	1.800
божественний	2.800
божественно	2.900
божественні	0.800
божественність	2.700
божество	2.250
бойкот	-1.300
бойкоти	-1.400
бойкотував	-1.700
бойкотування	-1.700
бойкотувати	-1.300
бойкотує	-1.400
бойовий корабель	-0.700
бойові дії	-1.700
болить	-1.750
болюче	-2.400
болючий	-1.700
болючість	-2.300
болючіший	-1.700
болі	-1.800
боліло	-1.600
болісний	-2.238
болісно	-2.200
болісність	-2.550
болісніший	-1.700
боліти	-2.000
бомба	-2.200
бонус	2.500
бонуси	2.600
борг	-1.150
борги	-0.800
бордель	-1.100
борделі	-1.900
боровся	-1.400
боротися	-1.800
боротьба	-1.400
ботан	-1.000
ботани	-0.400
ботанський	-0.600
боягуз	-1.700
боягузливий	-1.600
боягузтво	-1.200
боязкий	-1.133
боязко	-0.700
боязкість	-1.220
боязкіший	-1.000
боятися	-2.400
боєць	0.600
браво	2.450
брак	-1.667
бракований	-1.600
бракованість	-1.800
бракувати	-1.300
брехати	-2.400
брехливий	-2.700
брехня	-2.100
брехун	-2.350
брехуни	-2.400
брехуха	-2.300
бридкий	-1.800
бруд	-1.300
брудний	-1.733
бруднити	-0.700
брудно	-0.700
брудність	-1.600
брудніший	-1.500
брутальний	-3.100
брутально	-3.000
був вдячний	2.300
був відстійним	-2.000
бугага	2.500
будемо сподіватися	1.700
будь ласка	1.300
буйний	2.800
булінг	-2.900
бунт	-1.550
бунтар	-0.600
бунтарство	-1.500
бунти	-1.700
бунтує	-1.100
бунтівливість	-1.200
бунтівний	-1.200
бунтівники	-0.800
бунтівно	-1.800
буркотливий	-1.900
буркотливо	-1.400
буркотливість	-2.000
буркотливіший	-2.000
буркотун	-2.200
буркотіння	-1.700
бути вдячним	1.700
бути відстійним	-1.900
біда	-1.700
біди	-1.900
бідний	-2.100
бідність	-2.300
бідніший	-1.500
бідолахи	-1.900
бій	-1.533
бійка	-1.550
бійки	-1.800
біль	-1.950
більш брудний	-1.400
більш вдячний	1.850
більш винний	-2.000
більш вільний	1.100
більш гіркий	-1.900
більш довірливий	1.300
більш забруднений	-1.600
більш лінивий	-2.300
більш нещасний	-2.400
більш ризикований	-1.400
більш снобський	-0.700
більш сумний	-2.400
більш щасливий	1.900
більший	1.500
бісити	-1.900
бісить	-2.000
бісючий	-1.700
в екстазі	0.900
в ідеалі	1.800
в'язень	-2.500
в'язниця	-2.300
в'язні	-2.300
в'ялий	-0.800
вабить	1.700
вага	1.500
вагався	-1.300
вагання	-0.956
вагатися	-1.100
вагаючись	-1.367
вагається	-1.133
вагомий	0.800
вагомість	1.100
вада	-1.600
вади	-1.833
важкий	-1.500
важко	-1.700
важлива персона	2.300
важливий	1.233
важливо	1.300
важливості	0.400
важливість	1.333
валідований	0.900
валідувати	1.500
валідує	1.400
варвари	-2.400
вартий	1.400
вартий винагороди	2.000
вартий поцілунку	2.000
вартісний	1.400
вартість	1.400
варшава	-0.100
варшави	-0.200
вау	2.100
вбив	-3.500
вбивання	-3.350
вбивати	-3.100
вбиває	-2.500
вбивства	-2.925
вбивство	-3.325
вбивця	-3.033
вбивці	-3.067
вбила	-3.500
вбити	-3.700
вбитий	-3.400
вбито	-3.500
вболівальник	1.700
вболівання	2.300
введений в оману	-1.667
ввести в оману	-1.500
вводити в оману	-1.700
вводить в оману	-1.650
вводячи в оману	-1.400
ввірений	0.800
ввічливий	2.300
ввічливість	1.500
вганяти в депресію	-2.200
вганяє в депресію	-2.200
вдалий	2.250
вдало	2.250
вдалося	2.000
вдається	2.200
вдоволений	1.600
вдоволення	1.833
вдоволено	1.900
вдоволеність	1.400
вдовольнити	2.000
вдячна	2.433
вдячне	2.600
вдячне ставлення	1.850
вдячний	2.260
вдячно	1.950
вдячні	2.600
вдячність	2.033
вдячніший	1.850
ведмежатник	-0.700
везе	1.600
везунчик	1.600
везучий	1.850
везіння	1.500
великодушний	2.067
великодушно	1.600
великодушні вчинки	2.600
великодушність	2.167
велич	2.520
величати	2.700
величаючи	2.400
величає	2.200
величезне спасибі	2.500
величезний	1.300
величний	2.657
велично	2.900
величність	2.600
величніший	1.700
величі	2.050
вельмишановний	2.200
вердикт	0.600
вереск	-1.700
верески	-1.200
верескуни	-1.500
верещання	-1.600
верховенства	0.800
верховенство	0.200
верховний	2.600
верховність	2.300
весела думка	1.100
веселився	2.300
веселий	2.409
веселий настрій	2.400
веселити	1.700
веселитися	2.300
веселить	1.700
весело	2.356
веселощі	2.000
веселун	1.600
веселуни	1.300
веселі думки	1.600
веселість	2.489
веселіший	2.083
вечірка	1.700
вечірки	1.700
вечіркував	1.400
взаємодія	2.000
вибачати	1.100
вибачатися	1.600
вибачає	1.700
вибачається	1.150
вибачений	1.600
вибачення	0.867
вибачився	0.850
вибачитися	0.400
вибачно	1.600
виблискувати	1.800
виблискуючий	1.200
виблискує	1.300
виблював	-1.800
виведений з себе	-3.200
вивести з себе	-2.600
виганяючи	-1.600
виганяє	-1.600
вигнали	-2.600
вигнаний	-1.000
вигнати	-1.900
вигода	1.633
вигоди	1.550
виграв	2.250
виграти	2.800
виграш	2.500
виграшний	2.100
вигідна покупка	0.800
вигідна угода	0.800
вигідний	1.767
вигідно	1.967
вигідність	1.900
видати	-3.200
видатний	2.300
видає	-2.500
вижив	2.300
виживаючи	1.200
визволений	1.700
визволити	2.300
визнав	0.400
визнавати	0.800
визнаний	1.100
визнання	1.867
визначений	0.800
визначеність	1.000
визначний	3.000
визначуваний	0.900
визначувано	0.900
визнає	1.200
викидати	-0.700
викидає	-1.000
викинути	-1.000
викинутий	-1.400
виклик	0.300
викликав огиду	-2.200
викликати невдоволення	-2.200
викликати нудоту	-1.900
викликати огиду	-2.350
викликає невдоволення	-1.800
викликає нудоту	-2.000
викликає огиду	-2.050
виклики	0.300
виключати	-0.900
виключений	-1.400
виключення	-1.200
виконаний	1.850
виконати	1.850
виконує	1.350
викрадати	-2.200
викрадена	-2.300
викрадений	-2.300
викрадення	-2.400
викрадення людей	-2.000
викрадення людини	-2.800
викрали	-2.300
викривати	-0.600
викриває	-0.500
викривлений	-1.700
викривлення	-2.000
викривляти	-1.300
викривляючи	-1.100
викривляє	-1.400
викритий	-0.300
викриття	-1.100
викрутка	0.300
викрутки	0.100
викупив	1.300
вилаяти	-1.700
вимагання	-1.300
вимазаний	-1.200
вимогливий	-0.900
вина	-1.533
винагорода	1.650
винагороджений	2.200
винагороджувальний	2.400
винагороджувально	2.400
винагороджувачі	1.900
винагороди	1.800
винахідливий	1.950
винахідливо	1.900
винахідливість	1.700
винахідливіший	2.000
винесення вироку	-0.600
винити	-1.400
винить	-1.700
винний	-1.900
винно	-1.800
винніший	-2.000
винуватець	-2.200
винуватий	-1.800
винувато	-1.100
винуватці	-1.000
винуватість	-1.700
винятковий	1.100
випадковий	-0.300
випадково	-1.400
виправданий	1.560
виправдання	0.300
виправдати	1.025
виправдовувальний	1.000
виправдовуючи	1.450
виправдовує	1.150
виразний	1.100
виразно	1.700
вирвав	-1.800
вирвати	-2.400
виродки	-3.000
виродок	-2.267
вирок	0.600
вироки	0.300
вирізняється	2.500
вирішальний	0.900
вирішив	1.100
вирішити	1.600
вирішуваний	1.000
вирішувати	0.800
вирішує	1.100
виселення	-2.000
виселити	-2.000
висилає	-1.600
висланий	-1.000
вислати	-1.900
висловив подяку	1.900
висловлює похвалу	2.300
висміювання	-1.650
висміювати	-1.450
висміювач	-1.600
висміювачі	-1.600
висміюючи	-1.500
висміює	-1.400
висміяв	-1.300
висміяний	-1.150
виснажений	-1.680
виснаження	-1.200
виснажливий	-1.500
виснажливо	-1.500
виснажуваний	-1.000
виснажуваність	-0.800
виснажувати	-1.200
виснажує	-1.200
висока майстерність	2.100
висока оцінка	2.000
висока якість	2.800
високо оцінив	2.300
високо цінувати	1.700
високо цінує	2.100
високопосадовець	1.900
високопосадовці	0.600
високоцінний	2.400
високошанований	1.900
високі якості	2.500
витвори	1.600
витвори мистецтва	2.500
витвір мистецтва	3.100
витекло	-1.300
витончений	2.175
витончено	2.150
витонченості	1.700
витонченість	2.050
витонченіший	2.200
витривалий	1.700
витривалість	1.200
витік	-1.400
вихвалений	2.200
вихваляльник	2.000
вихваляльники	2.000
вихваляння	2.600
вихваляє	2.400
вихователі	0.800
виховувати	1.400
виховує	1.900
вихід	1.300
вичерпаний	-1.500
вичерпний	1.000
вичерпність	-1.100
вичерпувати	-1.200
вишуканий	2.067
вишукано	2.100
вишуканість	2.900
вищий	2.500
вищість	1.400
виявляє вдячність	1.900
вкрав	-1.400
вкрадений	-2.200
вкрай	2.700
вкрай важливий	1.200
вкрай важливо	1.100
вкрай тяжкий	-2.000
власницький	-0.900
влаштовує	1.800
вмотивований	2.000
вогнепальна зброя	-1.400
войовничість	-1.800
володар нагороди	2.300
володарі нагород	2.400
вольності	1.200
воля	2.800
вонь	-2.467
вонючий	-1.750
вонючка	-1.700
вонючки	-1.500
воняв	-2.000
воняти	-2.400
ворог	-1.780
вороги	-1.640
ворогував	-2.200
ворогування	-1.600
вороже	-2.200
ворожий	-1.583
ворожити	-2.000
ворожнеча	-1.800
ворожнечі	-1.200
ворожі дії	-2.100
ворожіння	1.233
ворожість	-2.100
воша	-1.600
воював	-2.400
воюючий	-1.900
воєнні дії	-1.900
впав у відчай	-2.700
впадає в паніку	-1.900
впадає у відчай	-2.700
впевнений	1.850
впевнено	2.100
впевненість	1.900
впевненіший	1.200
впертий	-1.450
вперто	-1.400
впертості	-1.500
впертість	-1.100
впертіший	-1.500
впливовий	1.667
впроваджувати новації	2.200
впроваджує новації	2.000
вражати	2.033
вражаюче	1.767
вражаючи	2.500
вражаючий	2.060
вражаючість	1.700
вражає	2.240
вражений	1.363
враження	0.900
вражено	2.100
вразливий	-0.900
вразливо	-1.200
вразливості	-0.600
вразливість	-1.000
врода	2.700
вродливий	2.533
вродливо	2.250
вродливість	2.600
вродливіший	2.000
врятував	1.800
врятувати	2.250
врівноважений	1.150
врівноважено	1.300
врівноваженість	1.700
врівноваженіший	1.500
врізатися	-0.300
все гаразд	2.000
все ок	2.000
всебічний	1.000
всезнайка	-1.200
всезнайки	-1.175
всезнайко	-1.525
втеча	0.700
втихомирений	1.600
втихомирює	1.300
втома	-1.000
втомлений	-1.475
втомливий	-1.350
втомливо	-1.500
втомлює	-1.200
втопився	-2.900
втопитися	-2.700
втрата	-1.300
втрата ілюзій	-1.600
втрати	-1.700
втратити	-1.700
втрачає	-1.300
втрачений	-1.300
втручатися	-1.400
втягувати	1.400
втіха	2.525
втішає	2.100
втішений	1.900
втішено	2.400
втішився	2.000
втішний	2.000
втішно	1.850
вульгарний	-2.700
вульгарно	-1.200
вульгарності	-2.000
вульгарність	-2.000
вульгарніший	-2.000
вчасно	1.500
вшанований	2.567
вшановує	2.700
вшанування	2.200
вів війну	-2.400
від щирого серця	2.500
відбивати охоту	-1.800
відбиває охоту	-1.900
відбираючи	-2.000
відбирає	-1.700
відвага	1.871
відважився	1.900
відважний	2.114
відважно	1.943
відважніший	1.800
відвернення уваги	-1.600
відвертати увагу	-1.200
відвертий	0.900
відверто	2.000
відвертість	2.000
відволікання	-1.300
відволікати	-1.200
відволікаюче	-1.400
відволікаючий	-1.400
відволікаючі чинники	-1.000
відволікає	-1.300
відволікливий	-1.500
відволікливість	-1.300
відволічений	-1.400
відволічено	-0.900
відвідувач фестивалю	1.300
відвідувачі фестивалю	1.200
віддане служіння	2.000
відданий	1.667
віддано	1.925
відданості	1.100
відданість	1.917
віддається	1.600
віджилий	-1.200
відзнака	2.400
відзнаки	2.200
відзначати	2.700
відзначатися	2.000
відзначається	2.500
відзначений	2.000
відзначений нагородою	3.000
відзначився	2.200
відкидати	-0.700
відкидає	-1.400
відкинути	-1.350
відкинутий	-2.000
відкинуті	-1.800
відкладання	-0.600
відкладає	-1.100
відкладений	-0.800
відкласти	-1.050
відкритість	1.400
відмова	-2.450
відмови	-2.100
відмовив	-1.200
відмовився	-1.200
відмовити	-1.450
відмовлятися	-1.200
відмовляючи	-1.700
відмовляючись	-1.700
відмовляється	-1.700
відмінний	2.750
відмінно	3.050
відновити	1.200
відновлений	1.400
відновлення сил	2.200
відновлюючи	1.200
відновлює	1.200
відомість	1.900
відплата	-2.400
відповідальний	1.300
відпочинок	2.400
відпочити	1.900
відпустка	1.700
відраза	-2.550
відрази	-1.100
відразив	-2.200
відразити	-2.800
відразливий	-2.250
відразливо	-1.933
відроджений	1.400
відроджує	1.600
відродити	1.300
відрізаний	-1.300
відставав	-1.200
відставання	-1.400
відставка	-1.200
відставки	-1.200
відстаючий	-1.100
відстає	-1.500
відсторонений	-1.600
відсторонення	-1.200
відсторонювати	-0.900
відстоював	1.200
відстоювати	1.800
відступ	0.800
відстій	-1.500
відстійний	-1.900
відсутній	-1.200
відсутність гумору	-1.400
відтермінований	-0.800
відтерміновує	-1.100
відтермінування	-0.500
відтермінувати	-0.900
відторгнутий	-2.300
відхилений	-2.300
відхилити	-1.700
відчай	-2.275
відчайдух	0.500
відчайдушний	-1.800
відчайдушно	-1.900
відчайдушність	-1.500
відчаї	-2.200
відчув огиду	-2.500
відчував огиду	-2.400
відчувати дискомфорт	-1.600
відчувати огиду	-2.100
відчуваючи неприязнь	-1.300
відчуває неприязнь	-1.700
відчуває огиду	-2.650
відчуження	-1.100
відчуття	0.500
