Word//word combination	Sentiment scores
covid-19	-1.75
instagram	1.0
obse	1.0
wwf	1.88
абонемент	1.0
аборт	-1.5999999999999999
абортний	-2.0
абразивний	-2.0
абрикос	1.2
абсурд	-1.2933333333333332
абсурдний	-1.2933333333333332
абсурдно	-1.0
абсурдність	-1.1
абу-дабі	1.2
абітурієнт	1.4
авангардний	2.0
авантюрний	2.0
аварійний	-1.1333333333333333
аварійність	-1.0
аварія	-2.0
авраам лінкольн	1.13
австрія	1.0
автентичний	1.2
авто	1.13
автоаварія	-2.0
автозаправка	1.0
автокрадій	-2.0
автомат	-1.3333333333333333
автоматний	-2.0
автомобілебудівний	1.4
автомобіль	1.0
автономний	1.315
автономія	1.2
авторитет	1.25
авторитетний	1.3333333333333333
авторський	1.25
авіакатастрофа	-2.0
авіаквиток	1.0
авіаперевезення	1.0
авіапромисловість	1.2
авіарейс	1.0
авіатроща	-2.0
авіаудар	-2.0
ага	2.0
агонізувати	-2.0
агонія	-1.5999999999999999
агонії	-2.0
агресивний	-1.6666666666666667
агресивність	-2.0
агресор	-1.94
агресія	-1.6666666666666667
агротехніка	1.0
агітка	-1.5
адаптивний	1.3
адаптивність	1.0
адаптований	1.3333333333333333
адвокат	1.315
адвокати	2.0
адекватний	1.3766666666666667
адекватно	1.5
адмінарешт	-1.2
адмінвідповідальність	1.4
адмінпорушення	-1.0
аерозйомка	1.0
аес	1.0
ажурний	1.3333333333333333
ажіотаж	-2.0
академік	1.2
академіст	1.0
академія	1.13
акламація	2.0
акне	-1.4
акомодаційний	2.0
аксесуар	1.0
актив	1.13
активний	1.69
активно	1.13
активність	1.38
активізувати	1.0
акторський	1.5
актуальний	1.63
актуально	1.4
актуальність	1.2
акула	-1.5
акуратний	1.4666666666666668
акуратно	2.0
акуратність	1.4
акційний	1.6
акціонер	1.0
акція	1.5
алерген	-1.0
алергічний	-1.7
алергія	-1.875
алея героїв крут	1.4
алкаш	-2.0
алкоголь	-1.25
алкогольний	-1.13
алкоголізм	-1.6666666666666667
алкоголік	-2.0
алкозалежність	-2.0
алмаз	1.2
алогічний	-1.5
альтернатива	1.25
альтруїстичний	1.5
альтруїстично	2.0
амбасадор	1.6
амбівалентний	-2.0
амбівалентність	-2.0
амбітний	1.4166666666666667
амбітно	2.0
амбіційний	1.7
амбіція	1.46
америка	1.0
американський	1.25
американські гірки	-2.0
амнезія	-1.8
амністія	0.9166666666666666
аморальний	-1.2666666666666666
аморально	-2.0
аморальність	-2.0
аморфний	-1.5
ампутація	-1.9
амстердам	1.4
амфетамін	-1.6
анаконда	-1.2
аналізувати	1.38
анархізм	-2.0
анархіст	-2.0
анархічний	-2.0
анархія	-1.2
ангел	1.9
ангела меркель	1.5
ангельський	1.5
англомовний	1.0
англійський	1.25
англія	1.2
анекдот	1.13
анекдотичний	1.2
анексований	-1.6
анексувати	-1.88
анексія	-2.0
анемічний	-2.0
аномальний	-1.3333333333333333
аномалія	-1.625
анорексія	-1.6
антагонізм	-1.3
антагонізувати	-2.0
антагоніст	-1.625
антагоністичний	-2.0
анти	-1.5
анти-	-2.0
анти-білий	-2.0
антиамериканський	-1.5
антибактеріальний	1.2
антибіотик	-1.4
антивірусний	1.6
антигромадський	-0.9333333333333332
антигромадські	-2.0
антигуманний	-1.5
антидепресант	-1.2
антидержавний	-2.0
антикваріат	1.0
антиконституційний	-1.5
антикорупційний	1.75
антикорупціонер	1.2
антикризовий	1.4
антинаркотичний	1.5
антинародний	-1.1333333333333333
антинауковий	-1.5
антиокупаційна	-2.0
антипатія	-2.0
антипремія	-1.2
антирейтинг	-1.0
антирекорд	-1.8
антисанітарний	-1.5
антисеміт	-1.5
антисеміти	-2.0
антисемітський	-2.0
антисептик	1.38
антисоціальний	-1.5
антитерористичний	1.4000000000000001
антитетичний	-2.0
антиукраїнський	-2.0
антиутопія	-1.5
антихристиянський	-1.5
антиізраїльський	-2.0
аніматор	1.4
апартаменти	1.4
апатичний	-1.7333333333333334
апатично	-2.0
апатія	-1.9
апдейт	1.2
апеляція	1.2
