Word//word combination	Sentiment scores
безпокійний	-2.0
хазяйновитий	1.4
гасіння	1.2
розсіяний	-2.0
знижка	1.75
нержавіюча	2.0
збанкрутувати	-1.9
адаптивність	1.0
каструля	-0.9
експропрійований	-2.0
прищик	-2.0
перемагає	2.0
заворожує	2.0
курувати	1.6
забруднені	-2.0
буяти	1.0
обізнаний	2.0
коломия	1.38
підхід	1.6
кріпацтво	-1.8
символізувати	1.2
неоднозначність	-2.0
упир	-1.4
кінопрем'єра	1.4
виробництво	1.25
конструкція	1.4
щасливий	1.94
ствердження	1.4
освітлювати	1.2
похвалити	1.7
автомат	-1.5
непридатний для використання	-2.0
менш розвинені	-2.0
промах	-1.7
інвалідність	-2.0
обожнювати	2.0
освіта	1.5
мряка	-1.0
своєчасно	2.0
британія	1.0
запалити	-1.4
найбільш відомі	2.0
проведіть пальцем	-2.0
зношений	-1.3
коханка	-1.6
погана репутація	-2.0
негідники	-2.0
бухгалтер	1.0
збоченість	-2.0
осушити	-1.13
взуття	1.2
фанатичний	-2.0
вирішувач проблем	2.0
ухильний	-2.0
мстивий	-1.75
переривати	-1.5
юнісеф	1.2
нечленорозбірний	-2.0
монополія	-1.13
впізнавати	1.2
вистежувати	-2.0
протизапальний	1.8
поповняти	1.2
відмовитись	-2.0
махати	2.0
раціональність	1.2
безтолковий	-2.0
вирвало	-2.0
легкість	1.2
обіцянки	2.0
поразки	2.0
відштовхування	-2.0
аукціонний	1.2
згоріти	-1.8
момент	1.38
категоричний	-1.9
швидкозростаючий	2.0
новітній	1.13
дивуватися	1.5
чемпіон	1.13
перший у своєму класі	2.0
табу	-1.5
курча	1.0
навтьоки	-2.0
гарантувати	1.565
порча	-2.0
безкарність	-1.8
пригальмовувати	-2.0
участь	1.13
ефектний	2.0
захищеність	1.6
адмінпорушення	-1.0
підбурювачі	-2.0
проросійський	-1.2
клубок	-2.0
книжковий	1.2
блокада	-2.0
ламати	-1.875
творіння	1.0
поневолити	-2.0
самостійно	1.13
оніміння	-2.0
одноразовий	0.935
рослинність	1.0
страшненький	-2.0
змести	-2.0
недоотриманий	-2.0
упертий	-1.2
злочинний	-1.8
обмежити	-1.7
спорудити	1.0
фаховий	1.4
спадщина	1.565
відлупцювати	-2.0
гріховність	-1.4
дар	1.6
вкладати	1.0
турок	-1.2
випотрошувати	-2.0
акціонер	1.0
домудруватися	1.0
деградувати	-1.6
калічить	-2.0
валятись	-2.0
звинувачуюче	-2.0
сакральний	2.0
сльоза	-1.25
незрозумілий	-1.25
побратися	1.2
артист	1.13
аплодисмент	1.4
улітку	1.2
дезорієнтує	-2.0
позбавлення волі	-2.0
опускання води	-2.0
поповнити	1.0
зворотний бік	-2.0
невідповідності	-2.0
стукати	-1.2
погіршується	-2.0
збагнути	1.2
давати	1.38
слабшати	-1.7
неподобство	-2.0
розпещений	2.0
ага	2.0
м`ясопродукт	-2.0
ніж	-1.375
компромат	-1.6
дорікати	-1.4
непокора	-1.3
необтяжливий	2.0
виснажуватися	-1.4
стабільно	1.4
самозваний	-2.0
мент	-1.25
безкорисний	1.0
вогневий	-1.3
верховенство	1.3
з вдячністю	2.0
мудро	1.9
поспіхом	-2.0
зневіреність	-2.0
розкол	-1.5
професіонал	1.75
відкликати	-1.3
кар'єра	1.38
упиватися	-1.0
хаос	-1.4
гнисти	-2.0
зневірившись	-2.0
кредит	-1.625
ацербічно	-2.0
заповзятливий	2.0
найкращі	2.0
побачити	1.25
боргів	-2.0
розпуснасть	-2.0
надмірно діяв	-2.0
найліпший	1.8
бьюті	1.4
переосмислити	1.6
конкретний	1.0
білок	1.4
напруження	-1.4
хобі	1.0
ілюзорний	-2.0
повага	1.5
бариста	1.0
присоска	-2.0
борець	1.5
самодержавство	-1.0
лунатизм	-1.38
тоталітарний	-1.4
одинокий	-1.25
одружитися	1.0
бутон	1.2
травесті	-2.0
приватність	1.2
хамський	-2.0
спересердя	-2.0
страхування	1.4
прогулюватися	1.0
сміттєзвалище	-1.6
шкідник	-1.9
віддає перевагу	2.0
удостоювати	1.5
обличчя	1.5
не погоджується	-2.0
ілірарний	-2.0
патогенний	-2.0
рф	-1.2
ослабнути	-2.0
кібератака	-1.4
корумпувати	-2.0
оздоровлювати	1.8
вимогливий	2.0
обов'язок	1.13
дзвіночок	1.2
свідомо	1.0
кинутий	-2.0
містечковий	-2.0
поганець	-1.6
смітник	-1.0
висококваліфікований	2.0
гармонія	1.63
опалити	-1.4
заміжжя	1.0
заздрість	-1.8
налагоджувати	1.6
перейми	-1.2
безуспішно	-1.4
рублевський	-2.0
передбачення	1.4
розпусність	-1.0
риторичний	-0.9
холерик	-2.0
протестували	-2.0
відкрито	1.3
примха	-1.8
інтеграція	1.315
комфортний	1.7
близнюк	1.4
досягнути	1.0
оон	1.63
бідувати	-1.6
розлучення	-1.38
берсерк	-2.0
нетворчі	-2.0
правильно	1.38
сум'яття	-1.4
підсилити	1.0
мудрість	1.88
венеція	1.0
паразитичний	-2.0
кумир	1.6
поздоровити	2.0
позбавлений	-1.4
повернено	2.0
електроніка	1.2
поранити	-1.6
загрузнути	-2.0
сповільняти	-1.2
враження	1.75
прискіпливий	-1.2
уберігати	1.0
зігріваючий серце	2.0
ескапада	-2.0
пацюк	-2.0
ізгоєм	-2.0
наймасштабніший	1.0
недостовірний	-1.5
втома	-1.5
кипить	-2.0
ласощі	1.75
ужахнутися	-1.2
добитися	1.6
не погоджуючись	-2.0
самоприниження	-2.0
життєстверджуючий	1.6
подано до суду	-2.0
пробачити	1.2
мертвий	-2.0
антинародний	-1.2
ігнорований	-1.2
зломлений	-2.0
дозвіл	1.13
переконливість	1.8
страховка	1.4
борщ	1.6
осторонь	-1.6
плява	-2.0
несправедливості	-2.0
провокаційний	-1.4
амстердам	1.4
бедлам	-2.0
третьосортний	-2.0
здивувати	1.25
матовий	-2.0
знезараження	1.2
астма	-1.8
береза	1.0
якнайбільше	1.4
міцніший	2.0
крихітка	1.315
істинно	2.0
впровадити	1.2
